accuracy,precision_macro,recall_macro,f1_macro,strategy,model
0.9786324786324786,0.9840021401819156,0.985332043842682,0.9846526060411095,label_kmeans,saved_lgbm
0.9786324786324786,0.9840021401819156,0.985332043842682,0.9846526060411095,label_kmeans,lgbm_trained
0.9658119658119658,0.974287236877165,0.9768160326670965,0.9754949170679508,label_kmeans,saved_rf
0.9658119658119658,0.974287236877165,0.9768160326670965,0.9754949170679508,label_kmeans,rf_trained
0.9572649572649573,0.95755100433463,0.9572649572649573,0.9572283130408511,label_tertiles,rf_trained
0.9572649572649573,0.95755100433463,0.9572649572649573,0.9572283130408511,label_tertiles,saved_rf
0.9572649572649573,0.9573372263430743,0.9572649572649573,0.9571201098894343,label_tertiles,saved_lgbm
0.9572649572649573,0.9573673532885909,0.9572649572649573,0.9569722838924415,label_tertiles,lgbm_trained
0.9487179487179487,0.9485343104596936,0.9487179487179488,0.9485482670196047,label_weighted,saved_lgbm
0.9444444444444444,0.9442737290838558,0.9444444444444443,0.9443332824060171,label_weighted,lgbm_trained
0.9444444444444444,0.9450643437055132,0.9444444444444445,0.9437683789906153,label_weighted,saved_rf
0.9401709401709402,0.941468253968254,0.9401709401709403,0.9394535182158248,label_weighted,rf_trained
