url,Response_time_ms,Load_time_ms,DOM_Content_Loaded_Time_ms,First_byte_TTFB_ms,Total_links,No_of_requests,Byte_in_bytes,Page_size_MB,Largest_contentful_paint_LCP_ms,Cumulative_Layout_Shift_CLS,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Interaction_to_Next_Paint_INP_ms,Design_optimization_score,JavaScript_Execution_Time_ms,Main_Thread_Work_CPU_ms,CSS_Blocking_Time_ms,Broken_link_count,Start_render_time_ms,Document_complete_time_ms,composite_score,label
https://embratel.com.br,22.0,4720.9665,5717,229,5717,2496,29,178.0,72.0,1507355.0,1.43,13810.19734,0.009437166813,4720.9665,27964.93005,8739.728164,11391.0,28,23775.996,9544.51625,1958,0.015977306022891685,Good
https://mutualofomaha.com,4.0,5605.8355,6903,952,6903,3561,738,147.0,158.0,899810.0,0.915,6594.544,0.00306245748,5605.8355,36891.75408,10624.42995,11391.0,28,55411.82,20761.0,152,0.00842037722258239,Good
https://shawfloors.com,4.0,23048.12925,152,123,152,149,48,0.0,1.0,1784.0,0.001,31963.028,0.08662112504,23048.12925,63660.9425,26557.02894,11391.0,23,76310.66,31795.628,14571,0.01865716027912712,Good
https://grupobancosabadell.com,7.0,10595.0452,5486,764,5486,2619,548,307.0,57.0,2753194.0,2.613,16216.424,0.05567899795,10595.0452,16325.22488,10595.0452,11391.0,55,5860.092,0.0,1995,0.024152187646830452,Good
https://itcinfotech.com,97.0,21812.8655,3878,162,3878,2441,19,293.0,130.0,6901512.0,6.547,38956.141,0.01682205029,21812.8655,39412.89495,21812.8655,11391.0,25,25258.512,9348.54475,15211,0.060265495659990655,Average
https://indeed.com,13.0,1175.553,196,117,196,194,49,14.0,3.0,0.0,0.0,1175.553,0.01741090041,1175.553,8805.0795,1389.129073,11391.0,70,7726.876,5937.5,0,0.00021116527139382948,Good
https://rijksoverheid.nl,0.0,2853.4305,2046,221,2046,1528,105,54.0,23.0,751688.0,0.712,7697.9305,0.04700359576,2853.4305,7699.8805,3878.659834,11391.0,56,2621.552,525.0,162,0.008197654168851482,Good
https://grundfos.com,2.5,2763.8465,597,189,597,586,0,0.0,0.0,0.0,0.0,10443.4453,0.3359321596,2763.8465,18060.35982,9251.694065,11391.0,15,23942.132,6091.496341,0,0.00576105826784609,Good
https://boschrexroth.com,5.0,4438.386,3462,391,3462,2785,275,182.0,87.0,0.0,0.0,7689.647,0.8815309842,4438.386,15688.74445,6428.117378,11391.0,9,9517.532,2034.5,200,0.004167303858832674,Good
https://ttec.nl,2.0,4719.7358,3527,662,3527,2889,449,48.0,33.0,639138.0,0.602,5466.7198,8.9e-05,4719.7358,13523.8401,4882.300138,11391.0,40,7221.4,2059.5,421,0.0062581379625078854,Good
