,Response_time_ms,Load_time_ms,DOM_Content_Loaded_Time_ms,First_byte_TTFB_ms,Total_links,No_of_requests,Byte_in_bytes,Page_size_MB,Largest_contentful_paint_LCP_ms,Cumulative_Layout_Shift_CLS,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Interaction_to_Next_Paint_INP_ms,Design_optimization_score,JavaScript_Execution_Time_ms,Main_Thread_Work_CPU_ms,CSS_Blocking_Time_ms,Broken_link_count,Start_render_time_ms,Document_complete_time_ms,composite_score
Response_time_ms,1.0,0.49772466177001246,0.5410569724228005,0.8927196483021462,-0.10898167181656139,-0.10729194877542052,0.1121770430529756,-0.10859164152321261,0.13115296269521054,-0.07608111748938765,0.11373158280693996,0.11782791957867293,0.17825143058898968,-0.031164602101170898,-0.12752380125209442,0.11091737684443394,0.09625431541000738,0.09283519050564246,-0.10953152373602207,-0.03967536941030959,0.6129411127928497,0.1562023470611317
Load_time_ms,0.49772466177001246,1.0,0.6838414917546043,0.5184394582218472,0.21873883391874424,0.20570567550849125,0.16513561812523264,0.18782324417673218,0.08040242936961034,0.16868502188825107,0.020377813026757115,0.2549598823885375,0.06668849190468415,0.3592579611539603,0.2248222940536675,0.1705125302548879,0.13065770217338044,0.015011265852966664,0.16795967245636328,0.1402727851616309,0.7988135322853647,0.14246804923238618
DOM_Content_Loaded_Time_ms,0.5410569724228005,0.6838414917546043,1.0,0.6356785778446533,0.5930076132652392,0.47931043610026064,0.0813574350195064,0.33677252399216656,0.018816728669998655,0.29559917501772465,-0.03400418584586374,0.15140843955840086,0.011381027592812272,0.06145025263389938,0.24869929428674625,0.08081816155794692,0.06956727510891804,-0.010641682350991574,0.1983659099414474,0.15509527496114633,0.5915687474880096,0.09949907376902696
First_byte_TTFB_ms,0.8927196483021462,0.5184394582218472,0.6356785778446533,1.0,0.1444692466189468,0.17949129266338393,0.03703924302303059,0.11845789459007011,0.024359756546753476,0.04210776931854124,-0.04865353582712518,0.0622441565637822,0.02617510362127102,-0.015401802190452786,0.025376454714910537,0.06660025272689836,0.08356377139013219,-0.028911480873859616,0.0012939125856389329,-0.0308548741562322,0.534788517902935,0.021772507748884055
Total_links,-0.10898167181656139,0.21873883391874424,0.5930076132652392,0.1444692466189468,1.0,0.8490446840099365,-0.16109582639914358,0.6654028430113677,-0.2587093136792049,0.5453693731050094,-0.39102587824444024,-0.04188014848034687,-0.37833091239527256,0.12562056615221073,0.5695799422663533,-0.11684775042358422,-0.0382122171289999,-0.20702393164505967,0.4671412889514523,0.21418281075899437,-0.09159700675430238,-0.24685663819307516
No_of_requests,-0.10729194877542052,0.20570567550849125,0.47931043610026064,0.17949129266338393,0.8490446840099365,1.0,-0.16254643162165383,0.6799124502894437,-0.2571683841660018,0.4825692835147531,-0.3931435855549583,-0.0904061081845317,-0.3762080462903921,0.09777543908387742,0.49392354013056533,-0.12033318134162975,-0.03931823341921651,-0.21109329243583375,0.41033598459410864,0.16129507211841643,-0.08263842344273029,-0.2709087759499868
Byte_in_bytes,0.1121770430529756,0.16513561812523264,0.0813574350195064,0.03703924302303059,-0.16109582639914358,-0.16254643162165383,1.0,-0.13119820567456747,0.5731436483166832,-0.11676115851480362,0.28409693738954117,0.4709842814065376,0.3296441556312139,-0.04511706636091476,-0.20133248433679962,0.12742713684674142,0.031139686139724895,0.25557507847110755,-0.18105310188299392,-0.011233461541966992,0.29620480776597813,0.41294716494154304
Page_size_MB,-0.10859164152321261,0.18782324417673218,0.33677252399216656,0.11845789459007011,0.6654028430113677,0.6799124502894437,-0.13119820567456747,1.0,-0.23639994424940738,0.44517789728410795,-0.3846843443596026,-0.081765653151766,-0.3656916007065955,0.08206322348767348,0.4691351932762326,-0.12887471521180788,-0.06837376109236998,-0.20288457927752204,0.38210074415091133,0.1145842831928226,-0.09066101882515042,-0.2674439020751554
Largest_contentful_paint_LCP_ms,0.13115296269521054,0.08040242936961034,0.018816728669998655,0.024359756546753476,-0.2587093136792049,-0.2571683841660018,0.5731436483166832,-0.23639994424940738,1.0,-0.17618902703013156,0.5160961769174669,0.7350832030536234,0.6083149450819005,-0.05529084479880835,-0.39235467193968354,0.2982133636249507,0.18671095390135795,0.3772927669306019,-0.341373282843348,0.002660976027901846,0.2864507907701071,0.7379705970647034
Cumulative_Layout_Shift_CLS,-0.07608111748938765,0.16868502188825107,0.29559917501772465,0.04210776931854124,0.5453693731050094,0.4825692835147531,-0.11676115851480362,0.44517789728410795,-0.17618902703013156,1.0,-0.2679668571323276,0.022910753633513133,-0.2569806009462305,0.13309620423021984,0.4233806263386408,-0.069046492185849,-0.007974122403663167,-0.1449525471131791,0.2789099220291971,0.08885538908129167,-0.018412522381313547,0.003979618513716621
