label,Largest_contentful_paint_LCP_ms,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Cumulative_Layout_Shift_CLS,composite_score
Average,9097.29055129306,4034.877450951157,18386.527987753212,6121.421708301628,630918.8219501526,0.07312573569151422
Good,500.1924297095116,846.0409323136247,13076.553829077122,311.9002792571028,891674.5819470277,0.018861313877202034
Weak,21457.29330192802,7398.116133712082,36122.85947696658,13696.930000372642,808005.3439039728,0.14930221168798855
